Campus,City,Degree,Email,EnrollmentStatus,EntryTerm,EntryYear,ExpectedGraduateTerm,ExpectedGraduateYear,FirstName,Gender,LastName,LocalAddress,LocalPhone,MiddleName,NeuId,Scholarship,State,VisaType,Zip
BOSTON,Boston,MASTERS,Nancy000@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Nancy,F,Hall,360 Huntington Ave,6174389135,,000,No,MA,,02115
BOSTON,Boston,MASTERS,Kenneth001@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Kenneth,M,Smith,360 Huntington Ave,6172158105,,001,No,MA,F1,02115
BOSTON,Boston,MASTERS,Nancy002@gmail.com,GRADUATED,SPRING,2015,SUMMER,2017,Nancy,F,Brown,360 Huntington Ave,6170868902,,002,No,MA,,02115
BOSTON,Boston,MASTERS,John003@gmail.com,FULL_TIME,SPRING,2016,SUMMER,2018,John,M,Wood,360 Huntington Ave,6170872635,,003,No,MA,,02115
SILICON_VALLEY,San Jose,MASTERS,Mary004@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Mary,F,Wood,Front Street,2202575643,,004,No,CA,,94080
BOSTON,Boston,MASTERS,Paul005@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Paul,M,Johnson,360 Huntington Ave,6179385473,,005,Yes,MA,F1,02115
SEATTLE,Seattle,MASTERS,David006@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,David,M,Gray,401 Terry Ave N,2069957778,,006,No,WA,,98109
BOSTON,Boston,MASTERS,Mary007@gmail.com,GRADUATED,SPRING,2014,SUMMER,2016,Mary,F,Taylor,360 Huntington Ave,6177528917,,007,Yes,MA,F1,02115
BOSTON,Boston,MASTERS,Jessica008@gmail.com,FULL_TIME,SPRING,2018,SUMMER,2020,Jessica,F,Davis,360 Huntington Ave,6179571836,,008,No,MA,,02115
BOSTON,Boston,MASTERS,John009@gmail.com,FULL_TIME,SPRING,2018,SUMMER,2020,John,M,Smith,360 Huntington Ave,6177027224,,009,No,MA,F1,02115
BOSTON,Boston,MASTERS,Richard010@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Richard,M,Williams,360 Huntington Ave,6171873160,,010,No,MA,,02115
SILICON_VALLEY,San Jose,MASTERS,Barbara011@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Barbara,F,Taylor,Front Street,2209501607,,011,No,CA,,94080
SEATTLE,Seattle,MASTERS,Thomas012@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Thomas,M,Brown,401 Terry Ave N,2065084578,,012,No,WA,F1,98109
SEATTLE,Seattle,MASTERS,Dorothy013@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Dorothy,F,White,401 Terry Ave N,2060795753,,013,No,WA,,98109
BOSTON,Boston,MASTERS,Mark014@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Mark,M,Lee,360 Huntington Ave,6178406549,,014,No,MA,,02115
SEATTLE,Seattle,MASTERS,Kimberly015@gmail.com,GRADUATED,FALL,2015,SUMMER,2017,Kimberly,F,Lee,401 Terry Ave N,2068357207,,015,Yes,WA,F1,98109
SEATTLE,Seattle,MASTERS,Barbara016@gmail.com,FULL_TIME,SPRING,2017,SUMMER,2019,Barbara,F,Gray,401 Terry Ave N,2066267402,,016,No,WA,F1,98109
SEATTLE,Seattle,MASTERS,Richard017@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Richard,M,Hall,401 Terry Ave N,2061551096,,017,No,WA,F1,98109
BOSTON,Boston,MASTERS,Charles018@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Charles,M,White,360 Huntington Ave,6173384398,,018,No,MA,F1,02115
BOSTON,Boston,MASTERS,Richard019@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Richard,M,Lee,360 Huntington Ave,6174418729,,019,No,MA,F1,02115
SEATTLE,Seattle,MASTERS,Donna020@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Donna,F,Allen,401 Terry Ave N,2067251028,,020,No,WA,,98109
CHARLOTTE,Charlotte,MASTERS,Betty021@gmail.com,FULL_TIME,SPRING,2016,SUMMER,2018,Betty,F,Brown,101 N Tryon St,9805302786,,021,No,NC,,28246
BOSTON,Boston,MASTERS,John022@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,John,M,Lopez,360 Huntington Ave,6178090346,,022,No,MA,F1,02115
SEATTLE,Seattle,MASTERS,William023@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,William,M,Lee,401 Terry Ave N,2060468756,,023,Yes,WA,F1,98109
BOSTON,Boston,MASTERS,Margaret024@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Margaret,F,Wilson,360 Huntington Ave,6172806759,,024,No,MA,,02115
BOSTON,Boston,MASTERS,Susan025@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Susan,F,Williams,360 Huntington Ave,6179692480,,025,No,MA,,02115
SILICON_VALLEY,San Jose,MASTERS,Jennifer026@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Jennifer,F,Lee,Front Street,2203405393,,026,No,CA,F1,94080
BOSTON,Boston,MASTERS,Paul027@gmail.com,GRADUATED,SPRING,2014,SUMMER,2016,Paul,M,Perry,360 Huntington Ave,6176760492,,027,No,MA,,02115
BOSTON,Boston,MASTERS,David028@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,David,M,Perry,360 Huntington Ave,6171506856,,028,No,MA,F1,02115
BOSTON,Boston,MASTERS,Jennifer029@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Jennifer,F,Gray,360 Huntington Ave,6174155594,,029,No,MA,,02115
SILICON_VALLEY,San Jose,MASTERS,Donna030@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Donna,F,Hall,Front Street,2205426067,,030,No,CA,F1,94080
SEATTLE,Seattle,MASTERS,Steven031@gmail.com,FULL_TIME,SPRING,2016,SUMMER,2018,Steven,M,Ward,401 Terry Ave N,2067080018,,031,No,WA,,98109
BOSTON,Boston,MASTERS,Mark032@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Mark,M,Perry,360 Huntington Ave,6173865023,,032,No,MA,F1,02115
BOSTON,Boston,MASTERS,Karen033@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Karen,F,Taylor,360 Huntington Ave,6178433440,,033,No,MA,,02115
SEATTLE,Seattle,MASTERS,Jessica034@gmail.com,FULL_TIME,SPRING,2018,SUMMER,2020,Jessica,F,Taylor,401 Terry Ave N,2062000851,,034,No,WA,F1,98109
SEATTLE,Seattle,MASTERS,Margaret035@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Margaret,F,Perry,401 Terry Ave N,2063118833,,035,Yes,WA,F1,98109
SEATTLE,Seattle,MASTERS,Betty036@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Betty,F,Hall,401 Terry Ave N,2065789972,,036,No,WA,,98109
SEATTLE,Seattle,MASTERS,William037@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,William,M,Wilson,401 Terry Ave N,2062152342,,037,No,WA,,98109
SEATTLE,Seattle,MASTERS,Kenneth038@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Kenneth,M,Jones,401 Terry Ave N,2062459249,,038,No,WA,F1,98109
SEATTLE,Seattle,MASTERS,Ashley039@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Ashley,F,Carter,401 Terry Ave N,2067019489,,039,No,WA,F1,98109
BOSTON,Boston,MASTERS,Andrew040@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Andrew,M,Davis,360 Huntington Ave,6177913388,,040,No,MA,F1,02115
SEATTLE,Seattle,MASTERS,Linda041@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Linda,F,Carter,401 Terry Ave N,2062184271,,041,No,WA,,98109
SEATTLE,Seattle,MASTERS,David042@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,David,M,Gray,401 Terry Ave N,2066911983,,042,No,WA,,98109
SEATTLE,Seattle,MASTERS,Paul043@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Paul,M,Taylor,401 Terry Ave N,2064860285,,043,No,WA,F1,98109
BOSTON,Boston,MASTERS,Linda044@gmail.com,FULL_TIME,SPRING,2016,SUMMER,2018,Linda,F,Williams,360 Huntington Ave,6172701842,,044,No,MA,F1,02115
SEATTLE,Seattle,MASTERS,Jessica045@gmail.com,GRADUATED,SPRING,2015,SUMMER,2017,Jessica,F,Jackson,401 Terry Ave N,2063600774,,045,Yes,WA,F1,98109
SEATTLE,Seattle,MASTERS,Richard046@gmail.com,FULL_TIME,SPRING,2017,SUMMER,2019,Richard,M,Allen,401 Terry Ave N,2069250001,,046,No,WA,F1,98109
SEATTLE,Seattle,MASTERS,Sandra047@gmail.com,GRADUATED,SPRING,2014,SUMMER,2016,Sandra,F,Perry,401 Terry Ave N,2060896015,,047,No,WA,,98109
BOSTON,Boston,MASTERS,Susan048@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Susan,F,Perry,360 Huntington Ave,6175756382,,048,No,MA,F1,02115
BOSTON,Boston,MASTERS,Mary049@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Mary,F,Lopez,360 Huntington Ave,6179919218,,049,No,MA,F1,02115
BOSTON,Boston,MASTERS,Ashley050@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Ashley,F,White,360 Huntington Ave,6179044718,,050,Yes,MA,F1,02115
BOSTON,Boston,MASTERS,Ashley051@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Ashley,F,Taylor,360 Huntington Ave,6179528517,,051,No,MA,F1,02115
BOSTON,Boston,MASTERS,Charles052@gmail.com,FULL_TIME,SPRING,2017,SUMMER,2019,Charles,M,Johnson,360 Huntington Ave,6170854363,,052,No,MA,F1,02115
CHARLOTTE,Charlotte,MASTERS,Steven053@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Steven,M,Davis,101 N Tryon St,9801563398,,053,No,NC,,28246
BOSTON,Boston,MASTERS,Linda054@gmail.com,GRADUATED,FALL,2015,SUMMER,2017,Linda,F,Carter,360 Huntington Ave,6178453846,,054,No,MA,,02115
CHARLOTTE,Charlotte,MASTERS,John055@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,John,M,Lopez,101 N Tryon St,9800223491,,055,No,NC,F1,28246
BOSTON,Boston,MASTERS,Barbara056@gmail.com,GRADUATED,SPRING,2015,SUMMER,2017,Barbara,F,Jones,360 Huntington Ave,6176659113,,056,No,MA,,02115
BOSTON,Boston,MASTERS,Donald057@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Donald,M,Hall,360 Huntington Ave,6174461049,,057,No,MA,F1,02115
BOSTON,Boston,MASTERS,Donna058@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Donna,F,Jones,360 Huntington Ave,6176590055,,058,Yes,MA,F1,02115
BOSTON,Boston,MASTERS,David059@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,David,M,Jackson,360 Huntington Ave,6171732408,,059,No,MA,F1,02115
SEATTLE,Seattle,MASTERS,Paul060@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Paul,M,Carter,401 Terry Ave N,2065736415,,060,No,WA,F1,98109
SEATTLE,Seattle,MASTERS,Betty061@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Betty,F,Lopez,401 Terry Ave N,2066347233,,061,No,WA,,98109
BOSTON,Boston,MASTERS,Susan062@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Susan,F,Williams,360 Huntington Ave,6173291951,,062,No,MA,F1,02115
CHARLOTTE,Charlotte,MASTERS,Charles063@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Charles,M,Johnson,101 N Tryon St,9801865536,,063,No,NC,,28246
SEATTLE,Seattle,MASTERS,Lisa064@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Lisa,F,White,401 Terry Ave N,2064469337,,064,No,WA,,98109
BOSTON,Boston,MASTERS,Carol065@gmail.com,FULL_TIME,SPRING,2018,SUMMER,2020,Carol,F,Smith,360 Huntington Ave,6175212937,,065,No,MA,F1,02115
SEATTLE,Seattle,MASTERS,Carol066@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Carol,F,Williams,401 Terry Ave N,2067724266,,066,No,WA,F1,98109
BOSTON,Boston,MASTERS,Matthew067@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Matthew,M,Hall,360 Huntington Ave,6171852356,,067,No,MA,,02115
SEATTLE,Seattle,MASTERS,Richard068@gmail.com,GRADUATED,SPRING,2015,SUMMER,2017,Richard,M,Gray,401 Terry Ave N,2066902768,,068,No,WA,,98109
SEATTLE,Seattle,MASTERS,Sandra069@gmail.com,FULL_TIME,SPRING,2017,SUMMER,2019,Sandra,F,Brown,401 Terry Ave N,2067496723,,069,No,WA,,98109
BOSTON,Boston,MASTERS,Kenneth070@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Kenneth,M,Wilson,360 Huntington Ave,6174098581,,070,No,MA,F1,02115
BOSTON,Boston,MASTERS,William071@gmail.com,FULL_TIME,SPRING,2016,SUMMER,2018,William,M,Miller,360 Huntington Ave,6179753046,,071,No,MA,,02115
SILICON_VALLEY,San Jose,MASTERS,Joseph072@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Joseph,M,Johnson,Front Street,2203496963,,072,No,CA,,94080
CHARLOTTE,Charlotte,MASTERS,Sandra073@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Sandra,F,Smith,101 N Tryon St,9804149694,,073,No,NC,,28246
BOSTON,Boston,MASTERS,Matthew074@gmail.com,FULL_TIME,SPRING,2017,SUMMER,2019,Matthew,M,Gray,360 Huntington Ave,6176545799,,074,No,MA,,02115
